id,task_type,input_text,expected
decision_005,extract_decision,The committee declined the proposal despite strong support.,denied
decision_006,extract_decision,Approved—conditional on completing KYC within 7 days.,approved
decision_007,extract_decision,We did not deny the application; we approved it.,approved
decision_008,extract_decision,The request remains under review. No decision has been made.,pending
decision_009,extract_decision,"Unfortunately, the claim was rejected.",denied
decision_010,extract_decision,Decision: ACCEPTED.,approved
date_001,extract_primary_date_iso,"Let's meet on January 16, 2026 at 10am. If that fails, January 23, 2026 works too.",2026-01-16
date_002,extract_primary_date_iso,"The contract was signed on March 11, 2025, but it became effective on April 1, 2025.",2025-03-11
date_003,extract_primary_date_iso,"Delivery is expected by Sep 5, 2024. The order was placed on Aug 28, 2024.",2024-09-05
date_004,extract_primary_date_iso,"Invoice date: February 2, 2026. Payment due: March 4, 2026.",2026-02-02
date_005,extract_primary_date_iso,"The incident occurred on 2025-07-14, and the report was filed on 2025-07-20.",2025-07-14
date_006,extract_primary_date_iso,"We rescheduled from November 9, 2025 to December 1, 2025.",2025-11-09
date_007,extract_primary_date_iso,"The deadline is May 31, 2026 (end of day).",2026-05-31
date_008,extract_primary_date_iso,"Start date: June 1, 2025. End date: June 30, 2025.",2025-06-01
date_009,extract_primary_date_iso,"We last updated the policy on October 12, 2023; the prior version was from 2021.",2023-10-12
date_010,extract_primary_date_iso,Appointment: 15 Feb 2026. Backup date: 22 Feb 2026.,2026-02-15
contr_001,detect_contradiction,I never visited Paris. My favorite café in Paris is on Rue Cler.,yes
contr_002,detect_contradiction,I ate sushi last night. I had dinner at home last night.,no
contr_003,detect_contradiction,The package arrived on Monday. The package did not arrive on Monday.,yes
contr_004,detect_contradiction,She is allergic to peanuts. She avoids peanuts whenever possible.,no
contr_005,detect_contradiction,The system is down right now. The system is fully operational right now.,yes
contr_006,detect_contradiction,I don't know his name. I think his name is Carlos.,maybe
contr_007,detect_contradiction,We shipped the order yesterday; today we realized it never left the warehouse.,yes
contr_008,detect_contradiction,The meeting is at 10am. Please join at 10:00 in the morning.,no
contr_009,detect_contradiction,"I can’t recommend Vendor A over Vendor B, but I can recommend Vendor B over Vendor A.",no
contr_010,detect_contradiction,"Payment is due within 30 days of receipt, not 30 days from invoice date.",no
